VARIABLES: "X", "Y", "T"
ZONE: I = {nx}, J = {ny}0.0 0.0 0.0
0.0 0.0375 0.0
0.0 0.075 0.0
0.0 0.11249999999999999 0.0
0.0 0.15 0.0
0.0 0.1875 0.0
0.0 0.22499999999999998 0.0
0.0 0.2625 0.0
0.0 0.3 0.0
0.0 0.33749999999999997 0.0
0.0 0.375 0.0
0.0 0.4125 0.0
0.0 0.44999999999999996 0.0
0.0 0.4875 0.0
0.0 0.525 0.0
0.0 0.5625 0.0
0.0 0.6 0.0
0.0 0.6375 0.0
0.0 0.6749999999999999 0.0
0.0 0.7125 0.0
0.0 0.75 0.0
0.0 0.7875 0.0
0.0 0.825 0.0
0.0 0.8624999999999999 0.0
0.0 0.8999999999999999 0.0
0.0 0.9375 0.0
0.0 0.975 0.0
0.0 1.0125 0.0
0.0 1.05 0.0
0.0 1.0875 0.0
0.0 1.125 0.0
0.0 1.1624999999999999 0.0
0.0 1.2 0.0
0.0 1.2375 0.0
0.0 1.275 0.0
0.0 1.3125 0.0
0.0 1.3499999999999999 0.0
0.0 1.3875 0.0
0.0 1.425 0.0
0.0 1.4625 0.0
0.0 1.5 100.0
0.025 0.0 0.0
0.025 0.0375 0.4799348482525687
0.025 0.075 0.40361175668696064
0.025 0.11249999999999999 0.4204553499673909
0.025 0.15 0.415163951891827
0.025 0.1875 0.41727506016765264
0.025 0.22499999999999998 0.4163777647808747
0.025 0.2625 0.41667801773781726
0.025 0.3 0.41673497370277535
0.025 0.33749999999999997 0.416427019482211
0.025 0.375 0.41693646745253843
0.025 0.4125 0.4162473389257938
0.025 0.44999999999999996 0.4171096518674299
0.025 0.4875 0.4160710335687218
0.025 0.525 0.41729600409038975
0.025 0.5625 0.41586888246613873
0.025 0.6 0.4175194070040954
0.025 0.6375 0.4156184691221574
0.025 0.6749999999999999 0.41780341819589195
0.025 0.7125 0.41529288359154237
0.025 0.75 0.4181806429688104
0.025 0.7875 0.41485091043289335
0.025 0.825 0.41870489390010623
0.025 0.8624999999999999 0.41422038394369
0.025 0.8999999999999999 0.41947529225914404
